t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
35.06,35.05,35.09,35.09,35.09,35.11,35.1,35.09,35.1,35.13,35.22,35.78,35.82
35.05,35.09,35.09,35.09,35.11,35.1,35.09,35.1,35.13,35.22,35.78,35.82,35.54
35.09,35.09,35.09,35.11,35.1,35.09,35.1,35.13,35.22,35.78,35.82,35.54,35.56
35.09,35.09,35.11,35.1,35.09,35.1,35.13,35.22,35.78,35.82,35.54,35.56,35.17
35.09,35.11,35.1,35.09,35.1,35.13,35.22,35.78,35.82,35.54,35.56,35.17,35.08
35.11,35.1,35.09,35.1,35.13,35.22,35.78,35.82,35.54,35.56,35.17,35.08,35.08
35.1,35.09,35.1,35.13,35.22,35.78,35.82,35.54,35.56,35.17,35.08,35.08,35.06
35.09,35.1,35.13,35.22,35.78,35.82,35.54,35.56,35.17,35.08,35.08,35.06,35.07
35.1,35.13,35.22,35.78,35.82,35.54,35.56,35.17,35.08,35.08,35.06,35.07,35.11
35.13,35.22,35.78,35.82,35.54,35.56,35.17,35.08,35.08,35.06,35.07,35.11,35.16
35.22,35.78,35.82,35.54,35.56,35.17,35.08,35.08,35.06,35.07,35.11,35.16,35.19
35.78,35.82,35.54,35.56,35.17,35.08,35.08,35.06,35.07,35.11,35.16,35.19,35.19
35.82,35.54,35.56,35.17,35.08,35.08,35.06,35.07,35.11,35.16,35.19,35.19,35.19
35.54,35.56,35.17,35.08,35.08,35.06,35.07,35.11,35.16,35.19,35.19,35.19,35.15
35.56,35.17,35.08,35.08,35.06,35.07,35.11,35.16,35.19,35.19,35.19,35.15,35.16
35.17,35.08,35.08,35.06,35.07,35.11,35.16,35.19,35.19,35.19,35.15,35.16,35.13
35.08,35.08,35.06,35.07,35.11,35.16,35.19,35.19,35.19,35.15,35.16,35.13,35.09
35.08,35.06,35.07,35.11,35.16,35.19,35.19,35.19,35.15,35.16,35.13,35.09,35.08
35.06,35.07,35.11,35.16,35.19,35.19,35.19,35.15,35.16,35.13,35.09,35.08,35.08
35.07,35.11,35.16,35.19,35.19,35.19,35.15,35.16,35.13,35.09,35.08,35.08,35.1
35.11,35.16,35.19,35.19,35.19,35.15,35.16,35.13,35.09,35.08,35.08,35.1,35.12
35.16,35.19,35.19,35.19,35.15,35.16,35.13,35.09,35.08,35.08,35.1,35.12,35.12
35.19,35.19,35.19,35.15,35.16,35.13,35.09,35.08,35.08,35.1,35.12,35.12,35.13
35.19,35.19,35.15,35.16,35.13,35.09,35.08,35.08,35.1,35.12,35.12,35.13,35.14
35.19,35.15,35.16,35.13,35.09,35.08,35.08,35.1,35.12,35.12,35.13,35.14,35.09
35.15,35.16,35.13,35.09,35.08,35.08,35.1,35.12,35.12,35.13,35.14,35.09,35.08
35.16,35.13,35.09,35.08,35.08,35.1,35.12,35.12,35.13,35.14,35.09,35.08,35.06
35.13,35.09,35.08,35.08,35.1,35.12,35.12,35.13,35.14,35.09,35.08,35.06,35.08
35.09,35.08,35.08,35.1,35.12,35.12,35.13,35.14,35.09,35.08,35.06,35.08,35.1
35.08,35.08,35.1,35.12,35.12,35.13,35.14,35.09,35.08,35.06,35.08,35.1,35.1
35.08,35.1,35.12,35.12,35.13,35.14,35.09,35.08,35.06,35.08,35.1,35.1,35.08
35.1,35.12,35.12,35.13,35.14,35.09,35.08,35.06,35.08,35.1,35.1,35.08,35.08
35.12,35.12,35.13,35.14,35.09,35.08,35.06,35.08,35.1,35.1,35.08,35.08,35.09
35.12,35.13,35.14,35.09,35.08,35.06,35.08,35.1,35.1,35.08,35.08,35.09,35.1
35.13,35.14,35.09,35.08,35.06,35.08,35.1,35.1,35.08,35.08,35.09,35.1,35.08
35.14,35.09,35.08,35.06,35.08,35.1,35.1,35.08,35.08,35.09,35.1,35.08,35.08
35.09,35.08,35.06,35.08,35.1,35.1,35.08,35.08,35.09,35.1,35.08,35.08,35.08
35.08,35.06,35.08,35.1,35.1,35.08,35.08,35.09,35.1,35.08,35.08,35.08,35.08
35.06,35.08,35.1,35.1,35.08,35.08,35.09,35.1,35.08,35.08,35.08,35.08,35.08
35.08,35.1,35.1,35.08,35.08,35.09,35.1,35.08,35.08,35.08,35.08,35.08,35.08
35.1,35.1,35.08,35.08,35.09,35.1,35.08,35.08,35.08,35.08,35.08,35.08,35.08
35.1,35.08,35.08,35.09,35.1,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08
35.08,35.08,35.09,35.1,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08
35.08,35.09,35.1,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08
35.09,35.1,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08
35.1,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08
35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.09
35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.09,35.11
35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.09,35.11,35.1
35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.09,35.11,35.1,35.12
35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.09,35.11,35.1,35.12,35.13
35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.09,35.11,35.1,35.12,35.13,35.14
35.08,35.08,35.08,35.08,35.08,35.08,35.09,35.11,35.1,35.12,35.13,35.14,35.16
35.08,35.08,35.08,35.08,35.08,35.09,35.11,35.1,35.12,35.13,35.14,35.16,35.14
35.08,35.08,35.08,35.08,35.09,35.11,35.1,35.12,35.13,35.14,35.16,35.14,35.1
35.08,35.08,35.08,35.09,35.11,35.1,35.12,35.13,35.14,35.16,35.14,35.1,35.1
35.08,35.08,35.09,35.11,35.1,35.12,35.13,35.14,35.16,35.14,35.1,35.1,35.12
35.08,35.09,35.11,35.1,35.12,35.13,35.14,35.16,35.14,35.1,35.1,35.12,35.15
35.09,35.11,35.1,35.12,35.13,35.14,35.16,35.14,35.1,35.1,35.12,35.15,35.14
35.11,35.1,35.12,35.13,35.14,35.16,35.14,35.1,35.1,35.12,35.15,35.14,35.11
35.1,35.12,35.13,35.14,35.16,35.14,35.1,35.1,35.12,35.15,35.14,35.11,35.11
35.12,35.13,35.14,35.16,35.14,35.1,35.1,35.12,35.15,35.14,35.11,35.11,35.13
35.13,35.14,35.16,35.14,35.1,35.1,35.12,35.15,35.14,35.11,35.11,35.13,35.15
35.14,35.16,35.14,35.1,35.1,35.12,35.15,35.14,35.11,35.11,35.13,35.15,35.17
35.16,35.14,35.1,35.1,35.12,35.15,35.14,35.11,35.11,35.13,35.15,35.17,35.15
35.14,35.1,35.1,35.12,35.15,35.14,35.11,35.11,35.13,35.15,35.17,35.15,35.13
35.1,35.1,35.12,35.15,35.14,35.11,35.11,35.13,35.15,35.17,35.15,35.13,35.12
35.1,35.12,35.15,35.14,35.11,35.11,35.13,35.15,35.17,35.15,35.13,35.12,35.15
35.12,35.15,35.14,35.11,35.11,35.13,35.15,35.17,35.15,35.13,35.12,35.15,35.18
35.15,35.14,35.11,35.11,35.13,35.15,35.17,35.15,35.13,35.12,35.15,35.18,35.18
35.14,35.11,35.11,35.13,35.15,35.17,35.15,35.13,35.12,35.15,35.18,35.18,35.19
35.11,35.11,35.13,35.15,35.17,35.15,35.13,35.12,35.15,35.18,35.18,35.19,35.16
35.11,35.13,35.15,35.17,35.15,35.13,35.12,35.15,35.18,35.18,35.19,35.16,35.16
35.13,35.15,35.17,35.15,35.13,35.12,35.15,35.18,35.18,35.19,35.16,35.16,35.18
35.15,35.17,35.15,35.13,35.12,35.15,35.18,35.18,35.19,35.16,35.16,35.18,35.18
35.17,35.15,35.13,35.12,35.15,35.18,35.18,35.19,35.16,35.16,35.18,35.18,35.17
35.15,35.13,35.12,35.15,35.18,35.18,35.19,35.16,35.16,35.18,35.18,35.17,35.16
35.13,35.12,35.15,35.18,35.18,35.19,35.16,35.16,35.18,35.18,35.17,35.16,35.17
35.12,35.15,35.18,35.18,35.19,35.16,35.16,35.18,35.18,35.17,35.16,35.17,35.18
35.15,35.18,35.18,35.19,35.16,35.16,35.18,35.18,35.17,35.16,35.17,35.18,35.19
35.18,35.18,35.19,35.16,35.16,35.18,35.18,35.17,35.16,35.17,35.18,35.19,35.19
35.18,35.19,35.16,35.16,35.18,35.18,35.17,35.16,35.17,35.18,35.19,35.19,35.19
35.19,35.16,35.16,35.18,35.18,35.17,35.16,35.17,35.18,35.19,35.19,35.19,35.19
35.16,35.16,35.18,35.18,35.17,35.16,35.17,35.18,35.19,35.19,35.19,35.19,35.19
35.16,35.18,35.18,35.17,35.16,35.17,35.18,35.19,35.19,35.19,35.19,35.19,35.2
35.18,35.18,35.17,35.16,35.17,35.18,35.19,35.19,35.19,35.19,35.19,35.2,35.19
35.18,35.17,35.16,35.17,35.18,35.19,35.19,35.19,35.19,35.19,35.2,35.19,35.18
35.17,35.16,35.17,35.18,35.19,35.19,35.19,35.19,35.19,35.2,35.19,35.18,35.2
35.16,35.17,35.18,35.19,35.19,35.19,35.19,35.19,35.2,35.19,35.18,35.2,35.2
35.17,35.18,35.19,35.19,35.19,35.19,35.19,35.2,35.19,35.18,35.2,35.2,37.878
35.18,35.19,35.19,35.19,35.19,35.19,35.2,35.19,35.18,35.2,35.2,37.878,40.691
35.19,35.19,35.19,35.19,35.19,35.2,35.19,35.18,35.2,35.2,37.878,40.691,41.111
35.19,35.19,35.19,35.19,35.2,35.19,35.18,35.2,35.2,37.878,40.691,41.111,39.53
35.19,35.19,35.19,35.2,35.19,35.18,35.2,35.2,37.878,40.691,41.111,39.53,39.17
35.19,35.19,35.2,35.19,35.18,35.2,35.2,37.878,40.691,41.111,39.53,39.17,40.203
35.19,35.2,35.19,35.18,35.2,35.2,37.878,40.691,41.111,39.53,39.17,40.203,39.21
35.2,35.19,35.18,35.2,35.2,37.878,40.691,41.111,39.53,39.17,40.203,39.21,39.795
35.19,35.18,35.2,35.2,37.878,40.691,41.111,39.53,39.17,40.203,39.21,39.795,41.113
35.18,35.2,35.2,37.878,40.691,41.111,39.53,39.17,40.203,39.21,39.795,41.113,42.291
35.2,35.2,37.878,40.691,41.111,39.53,39.17,40.203,39.21,39.795,41.113,42.291,42.616
35.2,37.878,40.691,41.111,39.53,39.17,40.203,39.21,39.795,41.113,42.291,42.616,43.171
37.878,40.691,41.111,39.53,39.17,40.203,39.21,39.795,41.113,42.291,42.616,43.171,43.295
40.691,41.111,39.53,39.17,40.203,39.21,39.795,41.113,42.291,42.616,43.171,43.295,43.461
41.111,39.53,39.17,40.203,39.21,39.795,41.113,42.291,42.616,43.171,43.295,43.461,41.442
39.53,39.17,40.203,39.21,39.795,41.113,42.291,42.616,43.171,43.295,43.461,41.442,41.755
39.17,40.203,39.21,39.795,41.113,42.291,42.616,43.171,43.295,43.461,41.442,41.755,41.128
40.203,39.21,39.795,41.113,42.291,42.616,43.171,43.295,43.461,41.442,41.755,41.128,40.865
39.21,39.795,41.113,42.291,42.616,43.171,43.295,43.461,41.442,41.755,41.128,40.865,40.476
39.795,41.113,42.291,42.616,43.171,43.295,43.461,41.442,41.755,41.128,40.865,40.476,37.452
41.113,42.291,42.616,43.171,43.295,43.461,41.442,41.755,41.128,40.865,40.476,37.452,35.189
42.291,42.616,43.171,43.295,43.461,41.442,41.755,41.128,40.865,40.476,37.452,35.189,34.946
42.616,43.171,43.295,43.461,41.442,41.755,41.128,40.865,40.476,37.452,35.189,34.946,34.994
43.171,43.295,43.461,41.442,41.755,41.128,40.865,40.476,37.452,35.189,34.946,34.994,35.089
43.295,43.461,41.442,41.755,41.128,40.865,40.476,37.452,35.189,34.946,34.994,35.089,35.623
43.461,41.442,41.755,41.128,40.865,40.476,37.452,35.189,34.946,34.994,35.089,35.623,35.958
41.442,41.755,41.128,40.865,40.476,37.452,35.189,34.946,34.994,35.089,35.623,35.958,35.437
41.755,41.128,40.865,40.476,37.452,35.189,34.946,34.994,35.089,35.623,35.958,35.437,35.329
41.128,40.865,40.476,37.452,35.189,34.946,34.994,35.089,35.623,35.958,35.437,35.329,35.377
40.865,40.476,37.452,35.189,34.946,34.994,35.089,35.623,35.958,35.437,35.329,35.377,36.196
40.476,37.452,35.189,34.946,34.994,35.089,35.623,35.958,35.437,35.329,35.377,36.196,37.553
37.452,35.189,34.946,34.994,35.089,35.623,35.958,35.437,35.329,35.377,36.196,37.553,37.455
35.189,34.946,34.994,35.089,35.623,35.958,35.437,35.329,35.377,36.196,37.553,37.455,37.434
34.946,34.994,35.089,35.623,35.958,35.437,35.329,35.377,36.196,37.553,37.455,37.434,37.868
34.994,35.089,35.623,35.958,35.437,35.329,35.377,36.196,37.553,37.455,37.434,37.868,38.716
35.089,35.623,35.958,35.437,35.329,35.377,36.196,37.553,37.455,37.434,37.868,38.716,38.873
35.623,35.958,35.437,35.329,35.377,36.196,37.553,37.455,37.434,37.868,38.716,38.873,39.001
35.958,35.437,35.329,35.377,36.196,37.553,37.455,37.434,37.868,38.716,38.873,39.001,40.493
35.437,35.329,35.377,36.196,37.553,37.455,37.434,37.868,38.716,38.873,39.001,40.493,40.105
35.329,35.377,36.196,37.553,37.455,37.434,37.868,38.716,38.873,39.001,40.493,40.105,40.929
35.377,36.196,37.553,37.455,37.434,37.868,38.716,38.873,39.001,40.493,40.105,40.929,42.722
36.196,37.553,37.455,37.434,37.868,38.716,38.873,39.001,40.493,40.105,40.929,42.722,41.976
37.553,37.455,37.434,37.868,38.716,38.873,39.001,40.493,40.105,40.929,42.722,41.976,42.473
37.455,37.434,37.868,38.716,38.873,39.001,40.493,40.105,40.929,42.722,41.976,42.473,42.842
37.434,37.868,38.716,38.873,39.001,40.493,40.105,40.929,42.722,41.976,42.473,42.842,43.455
37.868,38.716,38.873,39.001,40.493,40.105,40.929,42.722,41.976,42.473,42.842,43.455,45.64
38.716,38.873,39.001,40.493,40.105,40.929,42.722,41.976,42.473,42.842,43.455,45.64,48.237
38.873,39.001,40.493,40.105,40.929,42.722,41.976,42.473,42.842,43.455,45.64,48.237,48.288
39.001,40.493,40.105,40.929,42.722,41.976,42.473,42.842,43.455,45.64,48.237,48.288,49.026
40.493,40.105,40.929,42.722,41.976,42.473,42.842,43.455,45.64,48.237,48.288,49.026,54.5
40.105,40.929,42.722,41.976,42.473,42.842,43.455,45.64,48.237,48.288,49.026,54.5,62.17
40.929,42.722,41.976,42.473,42.842,43.455,45.64,48.237,48.288,49.026,54.5,62.17,65.558
42.722,41.976,42.473,42.842,43.455,45.64,48.237,48.288,49.026,54.5,62.17,65.558,66.917
41.976,42.473,42.842,43.455,45.64,48.237,48.288,49.026,54.5,62.17,65.558,66.917,65.589
42.473,42.842,43.455,45.64,48.237,48.288,49.026,54.5,62.17,65.558,66.917,65.589,64.824
42.842,43.455,45.64,48.237,48.288,49.026,54.5,62.17,65.558,66.917,65.589,64.824,62.726
43.455,45.64,48.237,48.288,49.026,54.5,62.17,65.558,66.917,65.589,64.824,62.726,63.779
45.64,48.237,48.288,49.026,54.5,62.17,65.558,66.917,65.589,64.824,62.726,63.779,65.127
48.237,48.288,49.026,54.5,62.17,65.558,66.917,65.589,64.824,62.726,63.779,65.127,73.971
48.288,49.026,54.5,62.17,65.558,66.917,65.589,64.824,62.726,63.779,65.127,73.971,84.105
49.026,54.5,62.17,65.558,66.917,65.589,64.824,62.726,63.779,65.127,73.971,84.105,90.441
